,Date,y_next,y_min_5,SP500_max_22,RealEstate_min_66,Gold_std_5,y,NASDAQ,y_max_10,y_max_5,y_diff_10,Oil,y_mean_5,Oil_std_5,y_diff_5,y_std_5,y_min_5_orig,SP500_max_22_orig,RealEstate_min_66_orig,Gold_std_5_orig,y_orig,NASDAQ_orig,y_max_10_orig,y_max_5_orig,y_diff_10_orig,Oil_orig,y_mean_5_orig,Oil_std_5_orig,y_diff_5_orig,y_std_5_orig,y_next_orig
3747,2021-09-14,0.7921742536858573,0.7630749131182762,0.6193260284293481,0.840666347091607,0.0016054518034056859,0.7820232753033436,0.6068410090856013,0.7899749953215748,0.7899749953215748,0.009812544702981318,0.5909140798641057,0.7743085709713207,0.005255816768429076,0.014718992227183869,0.011350791189168142,49.184669494628906,4536.9501953125,85.03539276123047,6.25355559026526,50.21625518798828,15037.759765625,50.64916229248047,50.64916229248047,0.5342140197753906,70.45999908447266,49.796251678466795,0.9613939736134438,0.80133056640625,0.617959150492321,50.76889419555664
3748,2021-09-15,0.7872679462998242,0.7630749131182762,0.6193260284293481,0.840666347091607,0.0015431751909283189,0.7921742536858573,0.6122958980846347,0.7921742536858573,0.7921742536858573,0.01793341149189398,0.6026678607094907,0.7795532419678013,0.008807993810863918,0.026223354982403357,0.01252159041708686,49.184669494628906,4536.9501953125,85.03539276123047,6.010975739986775,50.76889419555664,15161.5302734375,50.76889419555664,50.76889419555664,0.9763298034667969,72.61000061035156,50.08178176879883,1.6111581781591213,1.4276504516601562,0.6816997377534704,50.50178527832031
3749,2021-09-16,0.7776244782984396,0.7705187724099546,0.6193260284293481,0.840666347091607,0.0048428666756630675,0.7872679462998242,0.6131945230553295,0.7921742536858573,0.7921742536858573,0.019625089405962526,0.6026678607094907,0.7843918486041108,0.007371262911761682,0.024193033181547974,0.008632521020041315,49.589927673339844,4536.9501953125,85.03539276123047,18.863933447406705,50.50178527832031,15181.919921875,50.76889419555664,50.76889419555664,1.0684280395507812,72.61000061035156,50.34520492553711,1.348351370208116,1.3171157836914062,0.4699712352439327,49.976776123046875
3750,2021-09-17,0.7559692072297912,0.7776244782984396,0.6193260284293481,0.840666347091607,0.0063922331422187235,0.7776244782984396,0.607114698255995,0.7921742536858573,0.7921742536858573,0.0089666006423198,0.5991690666497829,0.7858129897818079,0.005986917933127033,0.0071057058884850255,0.005943873383078797,49.976776123046875,4536.9501953125,85.03539276123047,24.899025443149057,49.976776123046875,15043.9697265625,50.76889419555664,50.76889419555664,0.4881591796875,71.97000122070312,50.42257461547852,1.095126994533487,0.38684844970703125,0.3235960282653437,48.797821044921875
3751,2021-09-20,0.7541081723377869,0.7559692072297912,0.6193260284293481,0.840666347091607,0.006290217897895376,0.7559692072297912,0.5925676819970711,0.7921742536858573,0.7921742536858573,-0.008966670711404667,0.589984721815821,0.7790118321634513,0.006228445133788394,-0.03400578809178356,0.013994363734435238,48.797821044921875,4536.9501953125,85.03539276123047,24.501655680894665,48.797821044921875,14713.900390625,50.76889419555664,50.76889419555664,-0.4881629943847656,70.29000091552734,50.0523063659668,1.1393071487145776,-1.8513412475585938,0.76188038180568,48.696502685546875
3752,2021-09-21,0.7647666611014297,0.7541081723377869,0.6193260284293481,0.840666347091607,0.004477265303894081,0.7541081723377869,0.594000041737706,0.7921742536858573,0.7921742536858573,-0.01319611073837279,0.5914607586155134,0.7734288115703399,0.006096533056708627,-0.02791510296555666,0.017597171317706377,48.696502685546875,4536.9501953125,85.03539276123047,17.439843046571525,48.696502685546875,14746.400390625,50.76889419555664,50.76889419555664,-0.7184219360351562,70.55999755859375,49.748355865478516,1.11517779232004,-1.5197525024414062,0.9580242343730228,49.276771545410156
3753,2021-09-22,0.7737332617437495,0.7541081723377869,0.6193260284293481,0.8475061487621939,0.003173447569566524,0.7647666611014297,0.6006307310899368,0.7921742536858573,0.7872679462998242,-0.0011842376020242407,0.6005904647705752,0.7679472930534544,0.005686918591920444,-0.027407592584427598,0.014248226011717388,48.696502685546875,4536.9501953125,85.64053344726562,12.361212430639222,49.276771545410156,14896.849609375,50.76889419555664,50.50178527832031,-0.06447219848632812,72.2300033569336,49.44993133544922,1.0402511167339612,-1.4921226501464844,0.7757011379622505,49.764930725097656
3754,2021-09-23,0.7769478912157138,0.7541081723377869,0.6193260284293481,0.8475061487621939,0.0035731721505895247,0.7737332617437495,0.6074792010998482,0.7921742536858573,0.7776244782984396,0.010658348625473213,0.6064400149993601,0.7652403561422394,0.00680456207802081,-0.01353468455607476,0.010435516668283237,48.696502685546875,4536.9501953125,85.64053344726562,13.918219550327528,49.764930725097656,15052.240234375,50.76889419555664,49.976776123046875,0.58026123046875,73.30000305175781,49.30256042480469,1.2446904569004922,-0.7368545532226562,0.5681298252970342,49.93994140625
3755,2021-09-24,0.7843918205764769,0.7541081723377869,0.6193260284293481,0.8475061487621939,0.0035554248773150623,0.7769478912157138,0.6072791097406471,0.7921742536858573,0.7769478912157138,0.0064291188057592485,0.6101574889014141,0.7651050387256942,0.008914145652775289,-0.0006765870827257769,0.010237289368247256,48.696502685546875,4536.9501953125,85.64053344726562,13.849090374501843,49.93994140625,15047.7001953125,50.76889419555664,49.93994140625,0.35001373291015625,73.9800033569336,49.29519348144531,1.6305754724832593,-0.036834716796875,0.5573379455159692,50.3452033996582
3756,2021-09-27,0.7732258214317052,0.7541081723377869,0.6193260284293481,0.8475061487621939,0.003834317418117161,0.7843918205764769,0.6038533253080873,0.7921742536858573,0.7843918205764769,-0.005583174745097841,0.61819375413583,0.7707895613950314,0.010060126661843827,0.02842261334668572,0.01168498953341387,48.696502685546875,4536.9501953125,85.64053344726562,14.93543255177168,50.3452033996582,14969.9697265625,50.76889419555664,50.3452033996582,-0.3039588928222656,75.44999694824219,49.60466995239258,1.840198312192156,1.5473823547363281,0.6361535583941507,49.7373046875
