,Date,y_next,y_lag_2,y_min_10,SP500_std_10,y_std_5,NASDAQ,y_min_5,y_mean_5,Oil,InflationExp_std_5,y_diff_5,y_diff_10,y,y_pct_5,y_lag_2_orig,y_min_10_orig,SP500_std_10_orig,y_std_5_orig,NASDAQ_orig,y_min_5_orig,y_mean_5_orig,Oil_orig,InflationExp_std_5_orig,y_diff_5_orig,y_diff_10_orig,y_orig,y_pct_5_orig,y_next_orig
914,2010-06-15,0.6335563898792537,0.6150301309146238,0.5920414449568887,0.003518137464709693,0.012293702853388,0.04571386549353333,0.5924470118151215,0.612379591263612,0.6263394218547917,0.01221544997542379,0.032589840082987265,0.0,0.624631285039876,0.05504655182604723,43.5707893371582,42.17244338989258,22.007778483071274,0.7477960938500424,2305.8798828125,42.197113037109375,43.40956344604492,76.94000244140625,0.05801117354665436,1.98236083984375,0.0,44.15480422973633,0.047006070326929716,44.697696685791016
915,2010-06-16,0.6319336207399879,0.6192220754800875,0.5920414449568887,0.0038187337061155514,0.00891197793088858,0.045716071275886325,0.6105674530683513,0.6206014668764384,0.630330214278092,0.008517827020535072,0.041109378064132174,0.0008115727095082681,0.6335563898792537,0.06938912213968718,43.825775146484375,42.17244338989258,23.8881642155907,0.5420939780862554,2305.929931640625,43.29933547973633,43.90968017578125,77.66999816894531,0.04045116164545085,2.5005836486816406,0.049365997314453125,44.697696685791016,0.05925959073272513,44.5989875793457
916,2010-06-17,0.6182755437665716,0.624631285039876,0.5920414449568887,0.004060532742905747,0.007970681533819598,0.045770279722200324,0.6150301309146238,0.6248747004107658,0.6255193828732225,0.010475327230137943,0.021366167671636682,-0.0074376709838706034,0.6319336207399879,0.034993951224001396,44.15480422973633,42.17244338989258,25.40074287190008,0.4848372038438047,2307.159912109375,43.5707893371582,44.169610595703126,76.79000091552734,0.04974733039943285,1.299652099609375,-0.45241546630859375,44.5989875793457,0.03001552068201141,43.7681999206543
917,2010-06-18,0.6120549496371502,0.6335563898792537,0.5920414449568887,0.0042003507746811945,0.007047230579962016,0.04588663743129909,0.6182755437665716,0.6255237829811553,0.6276514591999534,0.010206699101313244,0.003245412851947793,-0.0013522867116241288,0.6182755437665716,0.005276835538319924,44.697696685791016,42.17244338989258,26.275377334626285,0.42866592458081326,2309.800048828125,43.7681999206543,44.209092712402345,77.18000030517578,0.04847161538016008,0.19741058349609375,-0.08225631713867188,43.7681999206543,0.004530801174348564,43.38981628417969
918,2010-06-21,0.6024539836517736,0.6319336207399879,0.5920414449568887,0.0036919495661060123,0.009084027892935194,0.04497389545354524,0.6120549496371502,0.6240903578125678,0.6311502532596612,0.009988901374684061,-0.0071671258429372164,0.00906000113009342,0.6120549496371502,-0.011574402991657684,44.5989875793457,42.17244338989258,23.095063520555637,0.5525593595177104,2289.090087890625,43.38981628417969,44.121900939941405,77.81999969482422,0.04743729394762743,-0.4359588623046875,0.5510978698730469,43.38981628417969,-0.009947544814610243,42.80581283569336
919,2010-06-22,0.6004255222276915,0.6182755437665716,0.5924470118151215,0.0031606903971977034,0.013224520749610065,0.0437711522758996,0.6024539836517736,0.6196548975349474,0.6278154586544842,0.009530978326474966,-0.022177301388102366,0.010412538694884899,0.6024539836517736,-0.03550462796093634,43.7681999206543,42.197113037109375,19.771761283597716,0.8044154863293562,2261.800048828125,42.80581283569336,43.85210266113281,77.20999908447266,0.045262617331190066,-1.3489913940429688,0.6333694458007812,42.80581283569336,-0.030551406977691542,42.68242645263672
920,2010-06-23,0.601777683512732,0.6120549496371502,0.6004255222276915,0.0020759104650435274,0.012811501700298539,0.043437519625074236,0.6004255222276915,0.6130287240046349,0.6231139463163301,0.010562804828703417,-0.033130867651562146,0.007978510412570028,0.6004255222276915,-0.05229347881390067,43.38981628417969,42.68242645263672,12.985898966080953,0.7792925404240957,2254.22998046875,42.68242645263672,43.449048614501955,76.3499984741211,0.05016276152657031,-2.015270233154297,0.48531341552734375,42.68242645263672,-0.04508666849929499,42.76467514038086
921,2010-06-24,0.6054289140760799,0.6024539836517736,0.6004255222276915,0.0024439927791698457,0.007807896400957637,0.041815204364147915,0.6004255222276915,0.6069975365591838,0.6239886656857146,0.012145755459345637,-0.030155937227255958,-0.008789769555619276,0.601777683512732,-0.047720102614486115,42.80581283569336,42.68242645263672,15.288445161060631,0.4749353794751961,2217.419921875,42.68242645263672,43.08218612670898,76.51000213623047,0.05768019428058705,-1.8343124389648438,-0.5346603393554688,42.76467514038086,-0.04112901522038892,42.98677062988281
922,2010-06-25,0.5924470118151215,0.6004255222276915,0.6004255222276915,0.002720794994211281,0.004639852796050614,0.042082286947396436,0.6004255222276915,0.6044282106210854,0.6368358040339153,0.01163296246991307,-0.012846629690491662,-0.009601216838543869,0.6054289140760799,-0.02077816245525288,42.68242645263672,42.68242645263672,17.019986891119142,0.282230979414562,2223.47998046875,42.68242645263672,42.925900268554685,78.86000061035156,0.055244940306033795,-0.7814292907714844,-0.5840187072753906,42.98677062988281,-0.01785381377776807,42.197113037109375
923,2010-06-28,0.6016424736555571,0.601777683512732,0.5924470118151215,0.002983887699119508,0.004863143724960672,0.04195755802527022,0.5924470118151215,0.6005066230566797,0.6335010094287382,0.010220148901818937,-0.019607937822028743,-0.02677506366496596,0.5924470118151215,-0.032036237650970856,42.76467514038086,42.197113037109375,18.665768509429608,0.29581322444033126,2220.64990234375,42.197113037109375,42.68735961914062,78.25,0.0485354884845259,-1.1927032470703125,-1.628662109375,42.197113037109375,-0.027488091658622316,42.75645065307617
924,2010-06-29,0.601777683512732,0.6054289140760799,0.5924470118151215,0.004003803855270973,0.004794968747535115,0.03819067356162667,0.5924470118151215,0.6003443210574364,0.6208725509228837,0.014411394197748145,-0.0008115099962164862,-0.022988811384318852,0.6016424736555571,-0.001347007436646841,42.98677062988281,42.197113037109375,25.045874193465146,0.2916663061013349,2135.179931640625,42.197113037109375,42.677487182617185,75.94000244140625,0.06843971294852476,-0.0493621826171875,-1.3983535766601562,42.75645065307617,-0.0011531654078538178,42.76467514038086
925,2010-06-30,0.6107027883521098,0.5924470118151215,0.5924470118151215,0.00479653253977099,0.004838624996561449,0.03704743270794221,0.5924470118151215,0.6006147533144446,0.61917779257193,0.016810335015252392,0.001352161285040454,-0.03177870636652169,0.601777683512732,0.002252005011418756,42.197113037109375,42.197113037109375,30.004804155869532,0.29432180972650396,2109.239990234375,42.197113037109375,42.69393692016602,75.62999725341797,0.07983228320772531,0.08224868774414062,-1.9330215454101562,42.76467514038086,0.0019269918460564917,43.30756759643555
926,2010-07-01,0.6116495082055011,0.6016424736555571,0.5924470118151215,0.005149335862128767,0.006673337104209259,0.03670014572635613,0.5924470118151215,0.60239977428232,0.6045265768060601,0.015825045763322314,0.008925104839377807,-0.02123083238787815,0.6107027883521098,0.01483123266931341,42.75645065307617,42.197113037109375,32.211772315700706,0.4059228923128009,2101.360107421875,42.197113037109375,42.80251541137695,72.94999694824219,0.07515314442016072,0.5428924560546875,-1.2914199829101562,43.30756759643555,0.01269488086306203,43.36515426635742
927,2010-07-02,0.6174641591969388,0.601777683512732,0.5924470118151215,0.005120384499774304,0.007854559884559928,0.03627836786072247,0.5924470118151215,0.6036438931082043,0.6000984246980676,0.008247817203486689,0.00622059412942122,-0.0066260355610704424,0.6116495082055011,0.010274689537935533,42.76467514038086,42.197113037109375,32.030666495968525,0.47777380587760826,2091.7900390625,42.197113037109375,42.87819213867188,72.13999938964844,0.039168884988584785,0.3783836364746094,-0.403045654296875,43.36515426635742,0.008802327574976454,43.71884536743164
928,2010-07-06,0.6207095720488865,0.6107027883521098,0.5924470118151215,0.00461689005069203,0.006841683187779697,0.03637047272385224,0.6016424736555571,0.6086473225845677,0.5992237470375983,0.004681120945732626,0.025017147381817262,0.005409209559788519,0.6174641591969388,0.04222680996427086,43.30756759643555,42.197113037109375,28.881047012938353,0.416162975810116,2093.8798828125,42.75645065307617,43.18253860473633,71.9800033569336,0.02223064398926837,1.5217323303222656,0.3290290832519531,43.71884536743164,0.036062474913485465,43.916255950927734
929,2010-07-07,0.6147596484869823,0.6116495082055011,0.5924470118151215,0.004083806061470131,0.007262121259672376,0.039261198917059856,0.601777683512732,0.6124607422632337,0.6106494872650065,0.005288223615728825,0.01906709839332943,0.018255588397112943,0.6207095720488865,0.031691742568436876,43.36515426635742,42.197113037109375,25.546329576420796,0.4417372028445835,2159.469970703125,42.76467514038086,43.41449966430664,74.06999969482422,0.025113774649305774,1.1598052978515625,1.110443115234375,43.916255950927734,0.027125855400443877,43.55433654785156
930,2010-07-08,0.6317981600296458,0.6174641591969388,0.5924470118151215,0.0036092085436040563,0.004135352566622523,0.03996327254023216,0.6107027883521098,0.6150571352580837,0.6181391154569298,0.008118039223627823,0.012981964974250304,0.014334126259290758,0.6147596484869823,0.021572692590511533,43.71884536743164,42.197113037109375,22.577475418062935,0.25154345545168405,2175.39990234375,43.30756759643555,43.57243194580078,75.44000244140625,0.03855256934509041,0.7896614074707031,0.8719100952148438,43.55433654785156,0.018465273146084593,44.59074783325195
931,2010-07-09,0.624631285039876,0.6207095720488865,0.5924470118151215,0.003692437807654816,0.007757306162303199,0.04089100307807243,0.6116495082055011,0.6192762095935909,0.6216925481955379,0.009867208961381112,0.021095371677536057,0.030020476516913863,0.6317981600296458,0.03454277936810923,43.916255950927734,42.197113037109375,23.098117725222743,0.47185809809778984,2196.449951171875,43.36515426635742,43.82906799316406,76.08999633789062,0.046859376660752745,1.2831802368164062,1.8260726928710938,44.59074783325195,0.029629469121281726,44.15480422973633
932,2010-07-12,0.6335563898792537,0.6147596484869823,0.5924470118151215,0.00373303993516115,0.0066616092012289985,0.04097518864455928,0.6147596484869823,0.621872564960466,0.615460318669876,0.010760144234759468,0.012981776834374847,0.019202370963796067,0.624631285039876,0.021224208734282657,43.55433654785156,42.197113037109375,23.35210513676112,0.40520951245177805,2198.360107421875,43.55433654785156,43.98699798583984,74.94999694824219,0.05109992639198243,0.7896499633789062,1.1680335998535156,44.15480422973633,0.018209319826898884,44.697696685791016
933,2010-07-13,0.6470790061423279,0.6317981600296458,0.6016424736555571,0.004218687149608061,0.007790922511005361,0.04289983596672632,0.6147596484869823,0.6250910110969288,0.6274874597454225,0.010378382605826849,0.016092230682314912,0.041109378064132174,0.6335563898792537,0.026061805276672567,44.59074783325195,42.75645065307617,26.390080890592692,0.4739028989645361,2242.030029296875,43.55433654785156,44.18276824951172,77.1500015258789,0.04928694036575632,0.978851318359375,2.5005836486816406,44.697696685791016,0.022389688248458883,45.52024459838867
934,2010-07-14,0.6523528804183578,0.624631285039876,0.601777683512732,0.004642273898996187,0.011916369008563221,0.04324404561293212,0.6147596484869823,0.6303648979156171,0.6268861006061994,0.00728587451569106,0.02636943409344139,0.04543653248677082,0.6470790061423279,0.04248272506318718,44.15480422973633,42.76467514038086,29.039836177980174,0.7248437922856129,2249.840087890625,43.55433654785156,44.50356597900391,77.04000091552734,0.034600619037177066,1.6039886474609375,2.7637939453125,45.52024459838867,0.0365238022397274,45.841041564941406
935,2010-07-15,0.6334210545954951,0.6335563898792537,0.6107027883521098,0.004708597327046654,0.011459676574783148,0.0432105500009084,0.624631285039876,0.6378835443018922,0.6245900248249378,0.010166888830626277,0.03759323193137554,0.05057519690562584,0.6523528804183578,0.061151105190293764,44.697696685791016,43.30756759643555,29.454723693720712,0.6970643004479995,2249.080078125,44.15480422973633,44.960906982421875,76.62000274658203,0.048282556399391746,2.2867050170898438,3.076366424560547,45.841041564941406,0.0525023498998205,44.6894645690918
