,Date,y_next,InflationExp,y_diff_66,Oil,y_diff_22,y_min_22,NASDAQ,y_max_5,y_diff_10,y_lag_5,y_std_5,NASDAQ_min_22,NASDAQ_min_10,SP500_max_22,y,y_min_5,y_max_10,y_diff_5,InflationExp_orig,y_diff_66_orig,Oil_orig,y_diff_22_orig,y_min_22_orig,NASDAQ_orig,y_max_5_orig,y_diff_10_orig,y_lag_5_orig,y_std_5_orig,NASDAQ_min_22_orig,NASDAQ_min_10_orig,SP500_max_22_orig,y_orig,y_min_5_orig,y_max_10_orig,y_diff_5_orig,y_next_orig
0,2006-10-27,0.01693458455997787,0.8793430325780606,0.002598408341535921,0.5378307681203496,0.0017708017729008985,0.016681818553693616,0.04768568427831264,0.017307064025223386,0.001197282161826095,0.016681818553693616,0.0002597350601650983,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.016681818553693616,0.016681818553693616,0.017905728501731246,0.00051882790906288,4.675000190734863,1.3769454956054688,60.75,0.9383811950683594,19.978557586669922,2350.6201171875,20.309886932373047,0.6344623565673828,19.978557586669922,0.13763849793283314,2330.7900390625,2330.7900390625,1406.0899658203125,19.978557586669922,19.978557586669922,20.62713050842285,0.2749366760253906,20.112503051757812
1,2006-10-30,0.01717405107044546,0.8789218214129675,0.002598408341535921,0.5247649499298028,0.0017708017729008985,0.016681818553693616,0.048265234761711726,0.017307064025223386,0.001197282161826095,0.016681818553693616,0.0002597350601650983,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.01693458455997787,0.016681818553693616,0.017905728501731246,0.00051882790906288,4.672999858856201,1.3769454956054688,58.36000061035156,0.9383811950683594,19.978557586669922,2363.77001953125,20.309886932373047,0.6344623565673828,19.978557586669922,0.13763849793283314,2330.7900390625,2330.7900390625,1406.0899658203125,20.112503051757812,19.978557586669922,20.62713050842285,0.2749366760253906,20.23940086364746
2,2006-10-31,0.017307064025223386,0.864813606968138,0.002598408341535921,0.5267876863353607,0.0017708017729008985,0.016681818553693616,0.0483948056451006,0.017307064025223386,0.001197282161826095,0.016681818553693616,0.0002597350601650983,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.01717405107044546,0.016681818553693616,0.017905728501731246,0.00051882790906288,4.605999946594238,1.3769454956054688,58.72999954223633,0.9383811950683594,19.978557586669922,2366.7099609375,20.309886932373047,0.6344623565673828,19.978557586669922,0.13763849793283314,2330.7900390625,2330.7900390625,1406.0899658203125,20.23940086364746,19.978557586669922,20.62713050842285,0.2749366760253906,20.309886932373047
3,2006-11-01,0.017253851644667664,0.8553379120760852,0.002598408341535921,0.5266783464141875,0.0017708017729008985,0.016681818553693616,0.04696862209505391,0.017307064025223386,0.001197282161826095,0.016681818553693616,0.0002597350601650983,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.017307064025223386,0.016681818553693616,0.017905728501731246,0.00051882790906288,4.560999870300293,1.3769454956054688,58.709999084472656,0.9383811950683594,19.978557586669922,2334.35009765625,20.309886932373047,0.6344623565673828,19.978557586669922,0.13763849793283314,2330.7900390625,2330.7900390625,1406.0899658203125,20.309886932373047,19.978557586669922,20.62713050842285,0.2749366760253906,20.281688690185547
4,2006-11-02,0.017200646462756496,0.8627079527742962,0.002598408341535921,0.522140854385022,0.0017708017729008985,0.016681818553693616,0.046954074691438086,0.017307064025223386,0.001197282161826095,0.016681818553693616,0.0002597350601650983,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.017253851644667664,0.016681818553693616,0.017905728501731246,0.00051882790906288,4.5960001945495605,1.3769454956054688,57.880001068115234,0.9383811950683594,19.978557586669922,2334.02001953125,20.309886932373047,0.6344623565673828,19.978557586669922,0.13763849793283314,2330.7900390625,2330.7900390625,1406.0899658203125,20.281688690185547,19.978557586669922,20.62713050842285,0.2749366760253906,20.253494262695312
5,2006-11-03,0.01734699490657385,0.8877658501692395,0.002598408341535921,0.5290291025832646,0.0017708017729008985,0.016681818553693616,0.046811721030315764,0.017307064025223386,0.001197282161826095,0.016681818553693616,0.00014327604619173928,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.017200646462756496,0.01693458455997787,0.017905728501731246,0.00051882790906288,4.715000152587891,1.3769454956054688,59.13999938964844,0.9383811950683594,19.978557586669922,2330.7900390625,20.309886932373047,0.6344623565673828,19.978557586669922,0.07592467406999712,2330.7900390625,2330.7900390625,1406.0899658203125,20.253494262695312,20.112503051757812,20.62713050842285,0.2749366760253906,20.33104705810547
6,2006-11-06,0.017493318155135263,0.886502417489772,0.002598408341535921,0.5338399548425917,0.0017708017729008985,0.016681818553693616,0.04836131003307689,0.01734699490657385,0.001197282161826095,0.01693458455997787,7.188620141989886e-05,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.01734699490657385,0.01717405107044546,0.017905728501731246,0.000412410346595983,4.709000110626221,1.3769454956054688,60.02000045776367,0.9383811950683594,19.978557586669922,2365.949951171875,20.33104705810547,0.6344623565673828,20.112503051757812,0.03809385140089323,2330.7900390625,2330.7900390625,1406.0899658203125,20.33104705810547,20.23940086364746,20.62713050842285,0.21854400634765625,20.408586502075195
7,2006-11-07,0.017533227440552055,0.8759738452968454,0.002598408341535921,0.5278810646926337,0.0017708017729008985,0.016681818553693616,0.04879894801182426,0.017493318155135263,0.001197282161826095,0.01717405107044546,0.00011130522878416101,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.017493318155135263,0.017200646462756496,0.017905728501731246,0.00031926708468980186,4.658999919891357,1.3769454956054688,58.93000030517578,0.9383811950683594,19.978557586669922,2375.8798828125,20.408586502075195,0.6344623565673828,20.23940086364746,0.05898273607030196,2330.7900390625,2330.7900390625,1406.0899658203125,20.408586502075195,20.253494262695312,20.62713050842285,0.16918563842773438,20.42973518371582
8,2006-11-08,0.017905728501731246,0.8704990038217885,0.002598408341535921,0.532801256873134,0.0017708017729008985,0.016681818553693616,0.04919824841728526,0.017533227440552055,0.001197282161826095,0.017307064025223386,0.00014530519566507922,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.017533227440552055,0.017200646462756496,0.017905728501731246,0.00022616341532866874,4.632999897003174,1.3769454956054688,59.83000183105469,0.9383811950683594,19.978557586669922,2384.93994140625,20.42973518371582,0.6344623565673828,20.309886932373047,0.07699995857496221,2330.7900390625,2330.7900390625,1406.0899658203125,20.42973518371582,20.253494262695312,20.62713050842285,0.11984825134277344,20.62713050842285
9,2006-11-09,0.01787910071551971,0.8704990038217885,0.002598408341535921,0.5400721843682535,0.0017708017729008985,0.016681818553693616,0.04880468304594204,0.017905728501731246,0.001197282161826095,0.017253851644667664,0.0002639634198865803,0.046811721030315764,0.046811721030315764,0.1166265894312324,0.017905728501731246,0.017200646462756496,0.017905728501731246,0.0006518768570635824,4.632999897003174,1.3769454956054688,61.15999984741211,0.9383811950683594,19.978557586669922,2376.010009765625,20.62713050842285,0.6344623565673828,20.281688690185547,0.1398791853487505,2330.7900390625,2330.7900390625,1406.0899658203125,20.62713050842285,20.253494262695312,20.62713050842285,0.3454418182373047,20.613019943237305
